Date,Date.1,Local_Institutes_buy,Local_Institutes_sell,Local_Institutes_net,Proprietary_Trading_buy,Proprietary_Trading_sell,Proprietary_Trading_net,Foreign_Investors_buy,Foreign_Investors_sell,Foreign_Investors_net,Local Investors,Unnamed: 11,Unnamed: 12,Open,High,Low,Close,Adj Close,Volume,Gold_Open,Gold_High,Gold_Low,Gold_Close,Gold_Adjclose,Gold_Volume,Dji_Open,Dji_High,Dji_Low,Dji_Close,Dji_Adjclose,Dji_Volume,ADX,Aroon_Oscillator,Stoch_Oscillator,MACD,RSI,ichimoku_a,ichimoku_b,ichimoku_base_line,ichimoku_conversion_line,parabolic_sar,EMA_10,EMA_20,EMA_50,EMA_100,bb_bbm,bb_bbh,bb_bbl
11/20/2017,11/20/2017 0:00,6956.493844,6590.222071,366.2717726,5823.489322,5457.797346,365.6919757,13595.84669,13253.07455,342.772145,22794.97455,23869.71045,-1074.735893,1715.02002,1718.290039,1711.390015,1714.380005,1714.380005,9648600.0,1274.599976,1275.900024,1274.599976,1274.599976,1274.599976,1.0,1274.599976,1275.900024,1274.599976,1274.599976,1274.599976,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.8049925,0.0,1699.6350095,1680.530029,1703.3705142399658,1705.247008488266,1708.3281730833785,1709.86855512399,0.0,0.0,0.0
11/21/2017,11/21/2017 0:00,5170.262178,7084.21318,-1913.951002,6397.23657,5794.214976,603.021594,18582.44771,19136.13161,-553.6838938,26097.04555,24232.43225,1864.613302,1716.73999,1718.800049,1707.310059,1710.47998,1710.47998,9409300.0,1281.099976,1281.099976,1281.099976,1281.099976,1281.099976,4.0,1281.099976,1281.099976,1281.099976,1281.099976,1281.099976,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.8049925,0.0,1699.665039,1681.2852292,1704.663144378154,1705.7453867274787,1708.412557668344,1709.8806625472773,0.0,0.0,0.0
11/22/2017,11/22/2017 0:00,5080.209827,5252.941027,-172.7311995,6090.841116,5510.224583,580.6165321,19427.9819,18510.44101,917.5408807,27016.60777,28342.03398,-1325.426213,1715.290039,1722.449951,1713.119995,1713.130005,1713.130005,10390900.0,1284.699951,1291.599976,1282.900024,1291.599976,1291.599976,4.0,1284.699951,1291.599976,1282.900024,1291.599976,1291.599976,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1701.48999,0.0,1701.48999,1682.785821992,1706.2025735821258,1706.4486837058141,1708.5975556029189,1709.9450059621827,0.0,0.0,0.0
11/24/2017,11/24/2017 0:00,6021.199379,8689.153258,-2667.953879,6997.913896,6842.320979,155.5929164,17538.20622,18270.22973,-732.0235038,25962.65854,22718.27407,3244.384467,1707.800049,1710.780029,1691.449951,1695.839966,1695.839966,10278300.0,1286.699951,1286.699951,1286.699951,1286.699951,1286.699951,0.0,1286.699951,1286.699951,1286.699951,1286.699951,1286.699951,0.0,0.0,0.0,36.52186423438473,0.0,42.35118433505761,0.0,1701.48999,0.0,1701.48999,1685.16566973248,1704.3184631126483,1705.4383296385936,1708.0972579714319,1709.6656982401591,0.0,0.0,0.0
11/27/2017,11/27/2017 0:00,7330.182414,6069.249592,1260.932822,4676.147387,4503.166412,172.980975,15415.35935,17635.17948,-2219.820133,19104.97419,18319.06785,785.9063359,1693.98999,1699.709961,1687.430054,1695.670044,1695.670044,9470000.0,1293.800049,1293.800049,1293.800049,1293.800049,1293.800049,1.0,1293.800049,1293.800049,1293.800049,1293.800049,1293.800049,1.0,0.0,0.0,36.116515197714186,0.0,42.246100300617144,0.0,1701.48999,0.0,1703.6349485,1687.402726608531,1702.7460232739847,1704.5080167206322,1707.609916247062,1709.3885565720373,0.0,0.0,0.0
11/28/2017,11/28/2017 0:00,6136.546692,4097.553332,2038.99336,5133.599979,5114.848863,18.75111615,18230.14414,18009.37244,220.7717011,19556.31992,21834.8361,-2278.516177,1696.060059,1706.550049,1695.839966,1706.52002,1706.52002,8120200.0,1294.699951,1294.699951,1294.699951,1294.699951,1294.699951,275442.0,1294.699951,1294.699951,1294.699951,1294.699951,1294.699951,275442.0,0.0,0.0,61.99913969305547,0.0,50.66392080140154,0.0,1701.48999,0.0,1704.9400025,1687.430054,1703.4322044968967,1704.6996360805722,1707.5671752177657,1709.3317538676404,0.0,0.0,0.0
11/29/2017,11/29/2017 0:00,8201.955966,4998.952318,3203.003648,6878.741331,7772.818492,-894.0771609,22072.33051,23690.28355,-1617.953039,24730.8221,25421.79554,-690.9734475,1710.329956,1715.410034,1705.0,1705.329956,1705.329956,9059600.0,1293.400024,1296.199951,1281.099976,1282.099976,1282.099976,47244.0,1293.400024,1296.199951,1281.099976,1282.099976,1282.099976,47244.0,0.0,0.0,59.1602412809833,0.0,49.806429002582966,0.0,1701.48999,0.0,1704.9400025,1687.430054,1703.7772502247335,1704.7596665490892,1707.4794411307944,1709.2525103455089,0.0,0.0,0.0
11/30/2017,11/30/2017 0:00,4215.261562,5210.662411,-995.4008494,5779.061511,6038.073158,-259.011647,32001.22402,32139.0535,-137.8294825,23213.26649,21821.02451,1392.241979,1702.540039,1708.420044,1691.800049,1697.390015,1697.390015,9743100.0,1283.099976,1284.5,1269.699951,1273.199951,1273.199951,3049.0,1283.099976,1284.5,1269.699951,1273.199951,1273.199951,3049.0,0.0,0.0,40.21950708782311,0.0,44.40626370703864,0.0,1701.48999,0.0,1704.9400025,1689.5312478199999,1702.6159347293274,1704.0577949729854,1707.0837773609592,1709.0176094475778,0.0,0.0,0.0
12/1/2017,12/1/2017 0:00,7256.324063,4825.033801,2431.290262,4571.090892,4635.56274,-64.47184795,14793.27497,16851.51258,-2058.237608,17448.13433,17756.71513,-308.5808065,1704.199951,1705.969971,1696.459961,1699.650024,1699.650024,9074600.0,1274.099976,1288.599976,1271.0,1278.800049,1278.800049,823.0,1274.099976,1288.599976,1271.0,1278.800049,1278.800049,823.0,0.0,0.0,45.61075996276901,0.0,46.194503952937914,0.0,1701.48999,0.0,1704.9400025,1691.5063700107999,1702.0766782330859,1703.6380072612724,1706.7922576213136,1708.8321127060415,0.0,0.0,0.0
12/4/2017,12/4/2017 0:00,5407.908114,4426.519935,981.3881787,4100.609777,4581.316212,-480.7064348,13044.59182,13219.77731,-175.1854912,17139.28364,17464.77989,-325.4962526,1704.699951,1706.47998,1692.449951,1697.609985,1697.609985,7957800.0,1272.5,1276.099976,1270.300049,1274.300049,1274.300049,850.0,1272.5,1276.099976,1270.300049,1274.300049,1274.300049,850.0,0.0,0.0,33.988937817042505,0.0,44.79384835192372,0.0,1701.48999,0.0,1704.9400025,1722.449951,1701.2645521907066,1703.063909903056,1706.4321684989093,1708.6098923554266,1702.40100705,1720.1011737588694,1684.7008403411307
